Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Morphogenesis of a branching epithelium (GO:0061138),GO:0061138,Morphogenesis of a branching epithelium,1.007180137,0.436236623,0.794620663,0.348066298,0.794495781
Tissue homeostasis (GO:0001894),GO:0001894,Tissue homeostasis,1.007506404,0.436327459,0.794620663,0.231075697,0.794495781
Cellular response to aldehyde (GO:0110096),GO:0110096,Cellular response to aldehyde,-1.013920629,0.436518325,0.794620663,0.9,0.794495781
Respiratory chain complex iv assembly (GO:0008535),GO:0008535,Respiratory chain complex iv assembly,-1.006036393,0.436561128,0.794620663,0.56,0.794495781
Response to alcohol (GO:0097305),GO:0097305,Response to alcohol,-1.003606071,0.436684073,0.794620663,0.210526316,0.794495781
Hydrogen peroxide metabolic process (GO:0042743),GO:0042743,Hydrogen peroxide metabolic process,-1.004500544,0.436710429,0.794620663,0.240740741,0.794495781
Phenol-containing compound catabolic process (GO:0019336),GO:0019336,Phenol-containing compound catabolic process,-1.011920771,0.437215355,0.794971017,0.166666667,0.794846081
Interleukin-8 production (GO:0032637),GO:0032637,Interleukin-8 production,1.010807079,0.437308375,0.794971017,0.271604938,0.794846081
Positive regulation of ion transmembrane transporter activity (GO:0032414),GO:0032414,Positive regulation of ion transmembrane transporter activity,-1.002127771,0.437449118,0.794971017,0.323529412,0.794846081
2'-deoxyribonucleotide metabolic process (GO:0009394),GO:0009394,2'-deoxyribonucleotide metabolic process,-1.00567796,0.437470944,0.794971017,0.433333333,0.794846081
Mitochondrial fission (GO:0000266),GO:0000266,Mitochondrial fission,-0.999921781,0.437724121,0.794971017,0.146341463,0.794846081
Cellular response to monoamine stimulus (GO:0071868),GO:0071868,Cellular response to monoamine stimulus,1.00891452,0.437807784,0.794971017,0.232323232,0.794846081
Cellular response to catecholamine stimulus (GO:0071870),GO:0071870,Cellular response to catecholamine stimulus,1.00891452,0.437807784,0.794971017,0.232323232,0.794846081
Histone h3-k9 trimethylation (GO:0036124),GO:0036124,Histone h3-k9 trimethylation,1.018859343,0.438079651,0.794971017,0.25,0.794846081
Negative regulation of necrotic cell death (GO:0060547),GO:0060547,Negative regulation of necrotic cell death,-1.006877949,0.438152343,0.794971017,0.4375,0.794846081
Negative regulation of amyloid precursor protein catabolic process (GO:1902992),GO:1902992,Negative regulation of amyloid precursor protein catabolic process,-1.006965696,0.438152343,0.794971017,0.375,0.794846081
Negative regulation of receptor signaling pathway via jak-stat (GO:0046426),GO:0046426,Negative regulation of receptor signaling pathway via jak-stat,-1.006757155,0.438337497,0.795045969,0.4,0.794921021
Cardiac ventricle formation (GO:0003211),GO:0003211,Cardiac ventricle formation,1.018200556,0.438538206,0.795045969,0.3,0.794921021
Histone h3-k27 methylation (GO:0070734),GO:0070734,Histone h3-k27 methylation,-1.004164891,0.438568498,0.795045969,0.333333333,0.794921021
Oligodendrocyte differentiation (GO:0048709),GO:0048709,Oligodendrocyte differentiation,1.009409681,0.438772265,0.795188812,0.22,0.795063842
Spindle midzone assembly (GO:0051255),GO:0051255,Spindle midzone assembly,-1.010588999,0.439384082,0.795339317,0.416666667,0.795214323
Lipoprotein localization (GO:0044872),GO:0044872,Lipoprotein localization,1.016556718,0.439405068,0.795339317,0.307692308,0.795214323
Acetylcholine receptor signaling pathway (GO:0095500),GO:0095500,Acetylcholine receptor signaling pathway,1.01041468,0.439420699,0.795339317,0.37037037,0.795214323
Regulation of cell communication by electrical coupling (GO:0010649),GO:0010649,Regulation of cell communication by electrical coupling,-1.00701314,0.439473684,0.795339317,0.214285714,0.795214323
Cellular biogenic amine catabolic process (GO:0042402),GO:0042402,Cellular biogenic amine catabolic process,-1.003938491,0.439480283,0.795339317,0.428571429,0.795214323
Positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050),GO:0090050,Positive regulation of cell migration involved in sprouting angiogenesis,-1.006074643,0.439927322,0.795890693,0.45,0.795765612
Pigment granule organization (GO:0048753),GO:0048753,Pigment granule organization,1.008210035,0.440035119,0.795890693,0.25,0.795765612
Alcohol metabolic process (GO:0006066),GO:0006066,Alcohol metabolic process,1.006965435,0.440567951,0.796346431,0.205333333,0.796221278
Striated muscle tissue development (GO:0014706),GO:0014706,Striated muscle tissue development,-1.003412709,0.440640119,0.796346431,0.264204545,0.796221278
Positive regulation of oxidative phosphorylation (GO:1903862),GO:1903862,Positive regulation of oxidative phosphorylation,1.015626571,0.440753045,0.796346431,0.2,0.796221278
Interleukin-1 production (GO:0032612),GO:0032612,Interleukin-1 production,-1.002373932,0.440787699,0.796346431,0.202020202,0.796221278
Nucleotide-excision repair (GO:0006289),GO:0006289,Nucleotide-excision repair,1.008362371,0.441324129,0.796586911,0.324074074,0.79646172
Monovalent inorganic anion homeostasis (GO:0055083),GO:0055083,Monovalent inorganic anion homeostasis,1.01123546,0.441409692,0.796586911,0.12,0.79646172
Cdc42 protein signal transduction (GO:0032488),GO:0032488,Cdc42 protein signal transduction,-1.005555173,0.441447368,0.796586911,0.214285714,0.79646172
Myeloid leukocyte cytokine production (GO:0061082),GO:0061082,Myeloid leukocyte cytokine production,1.006863268,0.441578947,0.796586911,0.166666667,0.79646172
Regulation of fatty acid biosynthetic process (GO:0042304),GO:0042304,Regulation of fatty acid biosynthetic process,1.007491508,0.441686501,0.796586911,0.217391304,0.79646172
Negative regulation by host of viral transcription (GO:0043922),GO:0043922,Negative regulation by host of viral transcription,1.010939816,0.441749357,0.796586911,0.285714286,0.79646172
Membrane repolarization (GO:0086009),GO:0086009,Membrane repolarization,1.004966073,0.441797141,0.796586911,0.227272727,0.79646172
Response to purine-containing compound (GO:0014074),GO:0014074,Response to purine-containing compound,1.005656071,0.442511346,0.797648639,0.360544218,0.797523282
Positive regulation of receptor recycling (GO:0001921),GO:0001921,Positive regulation of receptor recycling,1.010238305,0.443035649,0.798367554,0.428571429,0.798242083
Rostrocaudal neural tube patterning (GO:0021903),GO:0021903,Rostrocaudal neural tube patterning,1.015496134,0.443403161,0.798577501,0.181818182,0.798451998
Presynaptic membrane organization (GO:0097090),GO:0097090,Presynaptic membrane organization,1.015476234,0.443403161,0.798577501,0.181818182,0.798451998
Meiotic nuclear division (GO:0140013),GO:0140013,Meiotic nuclear division,1.001409709,0.443930118,0.799043971,0.162790698,0.798918394
Melanosome organization (GO:0032438),GO:0032438,Melanosome organization,1.007349023,0.444012716,0.799043971,0.259259259,0.798918394
Positive regulation of lymphocyte chemotaxis (GO:0140131),GO:0140131,Positive regulation of lymphocyte chemotaxis,1.001964868,0.444167409,0.799043971,0.333333333,0.798918394
Positive regulation of myelination (GO:0031643),GO:0031643,Positive regulation of myelination,-0.998228195,0.444267153,0.799043971,0.368421053,0.798918394
Epoxygenase p450 pathway (GO:0019373),GO:0019373,Epoxygenase p450 pathway,-0.998136008,0.444495099,0.799043971,0.473684211,0.798918394
Cell proliferation in hindbrain (GO:0021534),GO:0021534,Cell proliferation in hindbrain,1.013884945,0.444626296,0.799043971,0.3125,0.798918394
Regulation of muscle contraction (GO:0006937),GO:0006937,Regulation of muscle contraction,1.00291763,0.444628597,0.799043971,0.254658385,0.798918394
Receptor signaling pathway via stat (GO:0097696),GO:0097696,Receptor signaling pathway via stat,1.003164247,0.444730077,0.799043971,0.258064516,0.798918394
Somitogenesis (GO:0001756),GO:0001756,Somitogenesis,1.001147223,0.444792353,0.799043971,0.348484848,0.798918394
Purine-containing compound biosynthetic process (GO:0072522),GO:0072522,Purine-containing compound biosynthetic process,1.004423111,0.445128205,0.799421611,0.164179104,0.799295975
Renal filtration cell differentiation (GO:0061318),GO:0061318,Renal filtration cell differentiation,1.005397973,0.445379656,0.799421933,0.111111111,0.799296297
Glomerular visceral epithelial cell differentiation (GO:0072112),GO:0072112,Glomerular visceral epithelial cell differentiation,1.005397973,0.445379656,0.799421933,0.111111111,0.799296297
Organelle membrane fusion (GO:0090174),GO:0090174,Organelle membrane fusion,-0.99950247,0.445693911,0.799611201,0.311320755,0.799485535
Protein o-linked glycosylation via serine (GO:0018242),GO:0018242,Protein o-linked glycosylation via serine,1.010666435,0.445736434,0.799611201,0.8,0.799485535
Respiratory electron transport chain (GO:0022904),GO:0022904,Respiratory electron transport chain,-0.99872791,0.446037099,0.799627983,0.258928571,0.799502314
Positive regulation of vascular endothelial cell proliferation (GO:1905564),GO:1905564,Positive regulation of vascular endothelial cell proliferation,-1.000695048,0.446147013,0.799627983,0.3125,0.799502314
Positive regulation of triglyceride biosynthetic process (GO:0010867),GO:0010867,Positive regulation of triglyceride biosynthetic process,1.012295653,0.446199045,0.799627983,0.461538462,0.799502314
Regulation of interleukin-12 production (GO:0032655),GO:0032655,Regulation of interleukin-12 production,-1.000119901,0.446248462,0.799627983,0.283018868,0.799502314
Regulation of superoxide metabolic process (GO:0090322),GO:0090322,Regulation of superoxide metabolic process,1.001732937,0.44644714,0.799684851,0.470588235,0.799559174
Insulin secretion involved in cellular response to glucose stimulus (GO:0035773),GO:0035773,Insulin secretion involved in cellular response to glucose stimulus,1.003254172,0.446531554,0.799684851,0.338461538,0.799559174
Positive regulation of neutrophil migration (GO:1902624),GO:1902624,Positive regulation of neutrophil migration,1.001971222,0.446978931,0.800206566,0.322580645,0.800080807
Protein import (GO:0017038),GO:0017038,Protein import,1.003470192,0.44707439,0.800206566,0.318181818,0.800080807
Urea metabolic process (GO:0019627),GO:0019627,Urea metabolic process,-1.005294434,0.447625244,0.800742038,0.25,0.800616194
Nitrogen cycle metabolic process (GO:0071941),GO:0071941,Nitrogen cycle metabolic process,-1.005294434,0.447625244,0.800742038,0.25,0.800616194
Regulation of extrinsic apoptotic signaling pathway (GO:2001236),GO:2001236,Regulation of extrinsic apoptotic signaling pathway,1.001957268,0.447979493,0.801009117,0.280254777,0.800883232
Cardiac cell fate commitment (GO:0060911),GO:0060911,Cardiac cell fate commitment,-1.007907709,0.448026316,0.801009117,0.272727273,0.800883232
Negative regulation of atpase activity (GO:0032780),GO:0032780,Negative regulation of atpase activity,1.003479937,0.448244986,0.801174956,0.444444444,0.801049045
Regulation of epithelial to mesenchymal transition (GO:0010717),GO:0010717,Regulation of epithelial to mesenchymal transition,1.001595044,0.448491656,0.801390735,0.224719101,0.801264789
Negative regulation of ion transmembrane transport (GO:0034766),GO:0034766,Negative regulation of ion transmembrane transport,1.002082485,0.448956661,0.801996417,0.252747253,0.801870376
Morphogenesis of an epithelial fold (GO:0060571),GO:0060571,Morphogenesis of an epithelial fold,1.00624255,0.449339207,0.802262891,0.12,0.802136808
Negative regulation of endothelial cell apoptotic process (GO:2000352),GO:2000352,Negative regulation of endothelial cell apoptotic process,-0.995349039,0.450197353,0.802262891,0.178571429,0.802136808
Myotube differentiation (GO:0014902),GO:0014902,Myotube differentiation,-0.997984178,0.450356555,0.802262891,0.245283019,0.802136808
Negative regulation of smooth muscle cell differentiation (GO:0051151),GO:0051151,Negative regulation of smooth muscle cell differentiation,-0.998376456,0.450366422,0.802262891,0.375,0.802136808
Mitotic sister chromatid segregation (GO:0000070),GO:0000070,Mitotic sister chromatid segregation,0.999882992,0.450369031,0.802262891,0.259493671,0.802136808
Positive regulation of vasculogenesis (GO:2001214),GO:2001214,Positive regulation of vasculogenesis,1.00682977,0.450380263,0.802262891,0.25,0.802136808
Hydrogen peroxide catabolic process (GO:0042744),GO:0042744,Hydrogen peroxide catabolic process,0.998745739,0.450635556,0.802262891,0.193548387,0.802136808
Genitalia morphogenesis (GO:0035112),GO:0035112,Genitalia morphogenesis,-1.000415596,0.450657895,0.802262891,0.285714286,0.802136808
Negative regulation of production of molecular mediator of immune response (GO:0002701),GO:0002701,Negative regulation of production of molecular mediator of immune response,1.001010688,0.450704225,0.802262891,0.222222222,0.802136808
Copper ion transport (GO:0006825),GO:0006825,Copper ion transport,1.001190393,0.450744662,0.802262891,0.529411765,0.802136808
Dna strand elongation involved in dna replication (GO:0006271),GO:0006271,Dna strand elongation involved in dna replication,1.00018736,0.450934996,0.802262891,0.315789474,0.802136808
Response to gamma radiation (GO:0010332),GO:0010332,Response to gamma radiation,-0.995905163,0.450990223,0.802262891,0.392857143,0.802136808
Termination of rna polymerase i transcription (GO:0006363),GO:0006363,Termination of rna polymerase i transcription,0.998453318,0.451157931,0.802262891,0.516129032,0.802136808
Negative regulation of interleukin-1 production (GO:0032692),GO:0032692,Negative regulation of interleukin-1 production,-0.997478887,0.451247689,0.802262891,0.275862069,0.802136808
Mating behavior (GO:0007617),GO:0007617,Mating behavior,-0.995841757,0.451286765,0.802262891,0.260869565,0.802136808
Excitatory postsynaptic potential (GO:0060079),GO:0060079,Excitatory postsynaptic potential,1.002483543,0.451494911,0.802262891,0.25,0.802136808
Response to manganese ion (GO:0010042),GO:0010042,Response to manganese ion,0.99943078,0.451509198,0.802262891,0.3,0.802136808
Positive regulation of smad protein signal transduction (GO:0060391),GO:0060391,Positive regulation of smad protein signal transduction,1.004755734,0.451612903,0.802262891,0.266666667,0.802136808
